"rank", "team", "year2"
1, "Miami ", "2008"
2, "Notre Dame ", "2008"
3, "Alabama ", "2008"
4, "USC ", "2008"
5, "Florida ", "2008"
6, "Oklahoma ", "2008"
7, "Georgia ", "2008"
8, "Texas ", "2008"
9, "Clemson ", "2008"
10, "Ohio State ", "2008"
11, "Michigan ", "2008"
12, "Florida State ", "2008"
13, "LSU ", "2008"
14, "UCLA ", "2008"
15, "Colorado ", "2008"
16, "Texas A&M ", "2008"
17, "Arizona State ", "2008"
18, "Virginia Tech ", "2008"
19, "Washington ", "2008"
20, "Pittsburgh ", "2008"
21, "Auburn ", "2008"
22, "Illinois ", "2008"
23, "NC State ", "2008"
24, "Nebraska ", "2008"
25, "Arkansas ", "2008"
26, "Minnesota ", "2008"
27, "Arizona ", "2008"
28, "Missouri ", "2008"
29, "California ", "2008"
30, "North Carolina ", "2008"
31, "Ole Miss ", "2008"
32, "Oklahoma State ", "2008"
33, "Tennessee ", "2008"
34, "Oregon ", "2008"
35, "South Carolina ", "2008"
36, "Kansas State ", "2008"
37, "Wisconsin ", "2008"
38, "Boston College ", "2008"
39, "Southern Miss ", "2008"
40, "Penn State ", "2008"
41, "Maryland ", "2008"
42, "Michigan State ", "2008"
43, "Kansas ", "2008"
44, "Rutgers ", "2008"
45, "BYU ", "2008"
46, "Louisville ", "2008"
47, "Stanford ", "2008"
48, "Purdue ", "2008"
49, "West Virginia ", "2008"
50, "Iowa ", "2008"
