"rank", "team", "year2"
1, "Alabama ", "2013"
2, "Ohio State ", "2013"
3, "Florida ", "2013"
4, "Michigan ", "2013"
5, "Notre Dame ", "2013"
6, "LSU ", "2013"
7, "UCLA ", "2013"
8, "Ole Miss ", "2013"
9, "Texas A&M ", "2013"
10, "Auburn ", "2013"
11, "Florida State ", "2013"
12, "Georgia ", "2013"
13, "USC ", "2013"
14, "Miami ", "2013"
15, "Clemson ", "2013"
16, "Oklahoma ", "2013"
17, "Texas ", "2013"
18, "Washington ", "2013"
19, "Oregon ", "2013"
20, "South Carolina ", "2013"
21, "Virginia Tech ", "2013"
22, "Nebraska ", "2013"
23, "Arkansas ", "2013"
24, "Mississippi State ", "2013"
25, "Tennessee ", "2013"
26, "Vanderbilt ", "2013"
27, "Baylor ", "2013"
28, "North Carolina ", "2013"
29, "Virginia ", "2013"
30, "West Virginia ", "2013"
31, "Oklahoma State ", "2013"
32, "Pittsburgh ", "2013"
33, "Penn State ", "2013"
34, "Kentucky ", "2013"
35, "TCU ", "2013"
36, "Louisville ", "2013"
37, "Michigan State ", "2013"
38, "Maryland ", "2013"
39, "Arizona State ", "2013"
40, "Wisconsin ", "2013"
41, "California ", "2013"
42, "Indiana ", "2013"
43, "Missouri ", "2013"
44, "Arizona ", "2013"
45, "Oregon State ", "2013"
46, "Texas Tech ", "2013"
47, "Utah ", "2013"
48, "Rutgers ", "2013"
49, "Kansas ", "2013"
50, "Washington State ", "2013"
