"rank", "team", "year2"
1, "Alabama ", "2012"
2, "Texas ", "2012"
3, "Florida ", "2012"
4, "Florida State ", "2012"
5, "Ohio State ", "2012"
6, "Michigan ", "2012"
7, "Stanford ", "2012"
8, "USC ", "2012"
9, "Georgia ", "2012"
10, "Miami ", "2012"
11, "Auburn ", "2012"
12, "Oklahoma ", "2012"
13, "LSU ", "2012"
14, "Oregon ", "2012"
15, "South Carolina ", "2012"
16, "Texas A&M ", "2012"
17, "Notre Dame ", "2012"
18, "UCLA ", "2012"
19, "Tennessee ", "2012"
20, "Clemson ", "2012"
21, "Virginia Tech ", "2012"
22, "Mississippi State ", "2012"
23, "Rutgers ", "2012"
24, "Washington ", "2012"
25, "Virginia ", "2012"
26, "Baylor ", "2012"
27, "Arkansas ", "2012"
28, "Texas Tech ", "2012"
29, "TCU ", "2012"
30, "California ", "2012"
31, "Oklahoma State ", "2012"
32, "Nebraska ", "2012"
33, "Missouri ", "2012"
34, "Michigan State ", "2012"
35, "West Virginia ", "2012"
36, "Arizona State ", "2012"
37, "Maryland ", "2012"
38, "Utah ", "2012"
39, "Colorado ", "2012"
40, "Iowa ", "2012"
41, "North Carolina ", "2012"
42, "Arizona ", "2012"
43, "Pittsburgh ", "2012"
44, "Oregon State ", "2012"
45, "Louisville ", "2012"
46, "Vanderbilt ", "2012"
47, "Penn State ", "2012"
48, "Ole Miss ", "2012"
49, "Purdue ", "2012"
50, "Kentucky ", "2012"
