"rank", "team", "year2"
1, "Alabama ", "2017"
2, "Ohio State ", "2017"
3, "Georgia ", "2017"
4, "USC ", "2017"
5, "Michigan ", "2017"
6, "Florida State ", "2017"
7, "LSU ", "2017"
8, "Oklahoma ", "2017"
9, "Auburn ", "2017"
10, "Notre Dame ", "2017"
11, "Florida ", "2017"
12, "Miami ", "2017"
13, "Texas A&M ", "2017"
14, "Stanford ", "2017"
15, "Penn State ", "2017"
16, "Clemson ", "2017"
17, "Tennessee ", "2017"
18, "Maryland ", "2017"
19, "Oregon ", "2017"
20, "UCLA ", "2017"
21, "South Carolina ", "2017"
22, "Washington ", "2017"
23, "Nebraska ", "2017"
24, "Mississippi State ", "2017"
25, "Texas ", "2017"
26, "Virginia Tech ", "2017"
27, "Arkansas ", "2017"
28, "TCU ", "2017"
29, "North Carolina ", "2017"
30, "Kentucky ", "2017"
31, "Ole Miss ", "2017"
32, "Arizona State ", "2017"
33, "Utah ", "2017"
34, "Louisville ", "2017"
35, "Colorado ", "2017"
36, "Michigan State ", "2017"
37, "Pittsburgh ", "2017"
38, "Oklahoma State ", "2017"
39, "Wisconsin ", "2017"
40, "Baylor ", "2017"
41, "Iowa ", "2017"
42, "Rutgers ", "2017"
43, "Missouri ", "2017"
44, "Washington State ", "2017"
45, "Arizona ", "2017"
46, "Illinois ", "2017"
47, "Duke ", "2017"
48, "Georgia Tech ", "2017"
49, "Texas Tech ", "2017"
50, "Northwestern ", "2017"
