"rank", "team", "year2"
1, "Georgia ", "2018"
2, "Ohio State ", "2018"
3, "Texas ", "2018"
4, "USC ", "2018"
5, "Alabama ", "2018"
6, "Penn State ", "2018"
7, "Clemson ", "2018"
8, "Miami ", "2018"
9, "Oklahoma ", "2018"
10, "Notre Dame ", "2018"
11, "Florida State ", "2018"
12, "Auburn ", "2018"
13, "Oregon ", "2018"
14, "Florida ", "2018"
15, "LSU ", "2018"
16, "Washington ", "2018"
17, "Texas A&M ", "2018"
18, "South Carolina ", "2018"
19, "UCLA ", "2018"
20, "North Carolina ", "2018"
21, "Tennessee ", "2018"
22, "Michigan ", "2018"
23, "Nebraska ", "2018"
24, "Virginia Tech ", "2018"
25, "TCU ", "2018"
26, "NC State ", "2018"
27, "Mississippi State ", "2018"
28, "Maryland ", "2018"
29, "Baylor ", "2018"
30, "Louisville ", "2018"
31, "Michigan State ", "2018"
32, "Ole Miss ", "2018"
33, "Utah ", "2018"
34, "Oklahoma State ", "2018"
35, "West Virginia ", "2018"
36, "Arizona State ", "2018"
37, "Kentucky ", "2018"
38, "Minnesota ", "2018"
39, "Iowa ", "2018"
40, "Stanford ", "2018"
41, "Vanderbilt ", "2018"
42, "California ", "2018"
43, "Missouri ", "2018"
44, "Georgia Tech ", "2018"
45, "Arkansas ", "2018"
46, "Wisconsin ", "2018"
47, "Washington State ", "2018"
48, "Pittsburgh ", "2018"
49, "Cincinnati ", "2018"
50, "Indiana ", "2018"
