"rank", "team", "year2"
1, "Alabama ", "2015"
2, "USC ", "2015"
3, "Florida State ", "2015"
4, "Tennessee ", "2015"
5, "LSU ", "2015"
6, "Georgia ", "2015"
7, "Ohio State ", "2015"
8, "Auburn ", "2015"
9, "Clemson ", "2015"
10, "Texas ", "2015"
11, "Texas A&M ", "2015"
12, "UCLA ", "2015"
13, "Notre Dame ", "2015"
14, "Penn State ", "2015"
15, "Oklahoma ", "2015"
16, "Oregon ", "2015"
17, "Ole Miss ", "2015"
18, "Mississippi State ", "2015"
19, "Arizona State ", "2015"
20, "South Carolina ", "2015"
21, "Florida ", "2015"
22, "Arkansas ", "2015"
23, "Michigan State ", "2015"
24, "Stanford ", "2015"
25, "Missouri ", "2015"
26, "Washington ", "2015"
27, "Miami ", "2015"
28, "North Carolina ", "2015"
29, "Virginia Tech ", "2015"
30, "Nebraska ", "2015"
31, "NC State ", "2015"
32, "Texas Tech ", "2015"
33, "Louisville ", "2015"
34, "California ", "2015"
35, "West Virginia ", "2015"
36, "Baylor ", "2015"
37, "Michigan ", "2015"
38, "Kentucky ", "2015"
39, "TCU ", "2015"
40, "Oklahoma State ", "2015"
41, "Wisconsin ", "2015"
42, "Washington State ", "2015"
43, "Arizona ", "2015"
44, "Georgia Tech ", "2015"
45, "Utah ", "2015"
46, "Pittsburgh ", "2015"
47, "Maryland ", "2015"
48, "Illinois ", "2015"
49, "Vanderbilt ", "2015"
50, "Virginia ", "2015"
