"rank", "team", "year2"
1, "Alabama ", "2016"
2, "LSU ", "2016"
3, "Florida State ", "2016"
4, "Ohio State ", "2016"
5, "Ole Miss ", "2016"
6, "Georgia ", "2016"
7, "Texas ", "2016"
8, "Michigan ", "2016"
9, "Auburn ", "2016"
10, "USC ", "2016"
11, "Clemson ", "2016"
12, "Florida ", "2016"
13, "UCLA ", "2016"
14, "Tennessee ", "2016"
15, "Notre Dame ", "2016"
16, "Stanford ", "2016"
17, "Michigan State ", "2016"
18, "Texas A&M ", "2016"
19, "Oklahoma ", "2016"
20, "Penn State ", "2016"
21, "TCU ", "2016"
22, "Miami ", "2016"
23, "Arkansas ", "2016"
24, "Arizona State ", "2016"
25, "South Carolina ", "2016"
26, "Nebraska ", "2016"
27, "Oregon ", "2016"
28, "Mississippi State ", "2016"
29, "Washington ", "2016"
30, "Pittsburgh ", "2016"
31, "California ", "2016"
32, "North Carolina ", "2016"
33, "Duke ", "2016"
34, "Kentucky ", "2016"
35, "Wisconsin ", "2016"
36, "Houston ", "2016"
37, "Utah ", "2016"
38, "Louisville ", "2016"
39, "West Virginia ", "2016"
40, "Baylor ", "2016"
41, "Maryland ", "2016"
42, "Virginia Tech ", "2016"
43, "Missouri ", "2016"
44, "Texas Tech ", "2016"
45, "Oklahoma State ", "2016"
46, "Minnesota ", "2016"
47, "Iowa ", "2016"
48, "Arizona ", "2016"
49, "BYU ", "2016"
50, "NC State ", "2016"
