"rank", "team", "year2"
1, "Florida ", "2010"
2, "Texas ", "2010"
3, "USC ", "2010"
4, "Alabama ", "2010"
5, "Oklahoma ", "2010"
6, "Auburn ", "2010"
7, "Tennessee ", "2010"
8, "Florida State ", "2010"
9, "LSU ", "2010"
10, "UCLA ", "2010"
11, "Georgia ", "2010"
12, "Oregon ", "2010"
13, "Penn State ", "2010"
14, "Miami ", "2010"
15, "Notre Dame ", "2010"
16, "Texas A&M ", "2010"
17, "Michigan ", "2010"
18, "Ohio State ", "2010"
19, "Washington ", "2010"
20, "California ", "2010"
21, "Missouri ", "2010"
22, "Michigan State ", "2010"
23, "North Carolina ", "2010"
24, "Ole Miss ", "2010"
25, "Stanford ", "2010"
26, "Nebraska ", "2010"
27, "Clemson ", "2010"
28, "Virginia Tech ", "2010"
29, "Oklahoma State ", "2010"
30, "Mississippi State ", "2010"
31, "Pittsburgh ", "2010"
32, "West Virginia ", "2010"
33, "BYU ", "2010"
34, "South Carolina ", "2010"
35, "NC State ", "2010"
36, "Iowa ", "2010"
37, "Texas Tech ", "2010"
38, "Baylor ", "2010"
39, "Maryland ", "2010"
40, "Arizona State ", "2010"
41, "Arkansas ", "2010"
42, "Utah ", "2010"
43, "Georgia Tech ", "2010"
44, "Louisville ", "2010"
45, "Boston College ", "2010"
46, "Wisconsin ", "2010"
47, "TCU ", "2010"
48, "Southern Miss ", "2010"
49, "Kentucky ", "2010"
50, "UCF ", "2010"
