"rank", "team", "year2"
1, "Alabama ", "2011"
2, "Florida State ", "2011"
3, "USC ", "2011"
4, "Texas ", "2011"
5, "Auburn ", "2011"
6, "Ohio State ", "2011"
7, "Georgia ", "2011"
8, "LSU ", "2011"
9, "Notre Dame ", "2011"
10, "Clemson ", "2011"
11, "Florida ", "2011"
12, "Oregon ", "2011"
13, "Oklahoma ", "2011"
14, "Tennessee ", "2011"
15, "California ", "2011"
16, "Nebraska ", "2011"
17, "South Carolina ", "2011"
18, "North Carolina ", "2011"
19, "Texas Tech ", "2011"
20, "Ole Miss ", "2011"
21, "Arkansas ", "2011"
22, "Stanford ", "2011"
23, "Virginia ", "2011"
24, "Washington ", "2011"
25, "Oklahoma State ", "2011"
26, "Iowa ", "2011"
27, "Louisville ", "2011"
28, "TCU ", "2011"
29, "Rutgers ", "2011"
30, "Michigan ", "2011"
31, "Penn State ", "2011"
32, "Michigan State ", "2011"
33, "Miami ", "2011"
34, "Texas A&M ", "2011"
35, "Virginia Tech ", "2011"
36, "Kentucky ", "2011"
37, "Illinois ", "2011"
38, "Utah ", "2011"
39, "Boston College ", "2011"
40, "Kansas ", "2011"
41, "Mississippi State ", "2011"
42, "Oregon State ", "2011"
43, "Georgia Tech ", "2011"
44, "Wisconsin ", "2011"
45, "UCLA ", "2011"
46, "Baylor ", "2011"
47, "Cincinnati ", "2011"
48, "Arizona ", "2011"
49, "Vanderbilt ", "2011"
50, "Maryland ", "2011"
